episode_hash,cohort_group,task,lab,scene,operator,embodiment,rig_name,num_frames,zarr_processed_path,is_eval
692ee08a952b26f4cc71a4cb,fold_clothes,fold_clothes,mecka,,69036806466be157ec64477f,human_bimanual,mecka,197.0,s3://rldb/processed_v3/mecka/flagship/692ee08a952b26f4cc71a4cb.zarr,False
692eb2f0727c13b350cb7d51,fold_clothes,fold_clothes,mecka,,69038b590e94ce070afd2952,human_bimanual,mecka,399.0,s3://rldb/processed_v3/mecka/flagship/692eb2f0727c13b350cb7d51.zarr,False
692e90f07641010d043544f1,fold_clothes,fold_clothes,mecka,living_room,690366b20e94ce070afd1e8a,human_bimanual,mecka,142.0,s3://rldb/processed_v3/mecka/flagship/692e90f07641010d043544f1.zarr,False
692ee10d45175992cd6a0bed,fold_clothes,fold_clothes,mecka,,6903a36c466be157ec64562d,human_bimanual,mecka,301.0,s3://rldb/processed_v3/mecka/flagship/692ee10d45175992cd6a0bed.zarr,False
692ea2a9ba0400c70689fe67,fold_clothes,fold_clothes,mecka,living_room,683785ac01ca734152093448,human_bimanual,mecka,188.0,s3://rldb/processed_v3/mecka/flagship/692ea2a9ba0400c70689fe67.zarr,False
692eb90168bf0a1f4623060c,fold_clothes,fold_clothes,mecka,living_room,6903b723466be157ec64587b,human_bimanual,mecka,237.0,s3://rldb/processed_v3/mecka/flagship/692eb90168bf0a1f4623060c.zarr,False
692ef37dfbcce321dca74ed6,fold_clothes,fold_clothes,mecka,bedroom,690366b20e94ce070afd1e8a,human_bimanual,mecka,158.0,s3://rldb/processed_v3/mecka/flagship/692ef37dfbcce321dca74ed6.zarr,False
692fe0b5ee812107f0dc1c64,fold_clothes,fold_clothes,mecka,bedroom,6871d6cd07c5fd75be83e337,human_bimanual,mecka,546.0,s3://rldb/processed_v3/mecka/flagship/692fe0b5ee812107f0dc1c64.zarr,False
692eb3b395aad87d3e34470a,fold_clothes,fold_clothes,mecka,,670be6761e62a52f6a35360d,human_bimanual,mecka,350.0,s3://rldb/processed_v3/mecka/flagship/692eb3b395aad87d3e34470a.zarr,False
692edad89ca48e15a25b2957,fold_clothes,fold_clothes,mecka,living_room,6903a36c466be157ec64562d,human_bimanual,mecka,168.0,s3://rldb/processed_v3/mecka/flagship/692edad89ca48e15a25b2957.zarr,False
